IATA,id,name,city,country,ICAO,latitude,longitude,altitude,timezone,dst,tz,type,source,CRIMINAL ACTORS (AVERAGE),MAFIA-STYLE GROUPS,CRIMINAL NETWORKS,STATE-EMBEDDED ACTORS,FOREIGN ACTORS,CRIMINAL MARKETS (AVERAGE),HUMAN TRAFFICKING,HUMAN SMUGGLING,ARMS TRAFFICKING,FLORA CRIMES,FAUNA CRIMES,"NON-RENEWABLE
NON-RENEWABLE RESOURCE CRIMES",HEROIN TRADE,COCAINE TRADE,CANNABIS TRADE,SYNTHETIC DRUG TRADE,RESILIENCE (AVERAGE),POLITICAL LEADERSHIP AND GOVERNANCE,GOVERNMENT TRANSPARENCY AND ACCOUNTABILITY,INTERNATIONAL COOPERATION,NATIONAL POLICIES AND LAWS,JUDICIAL SYSTEM AND DETENTION,LAW ENFORCEMENT,TERRITORIAL INTEGRITY,ANTI-MONEY LAUNDERING SYSTEMS,ECONOMIC REGULATORY CAPACITY,VICTIM AND WITNESS SUPPORT,PREVENTION,NON-STATE ACTORS,population,in_cites_2021,in_cites_2016,in_cites_2017,in_cites_2018,in_cites_2019,in_cites_2020,degree_full,between_full,close_full,eigen_full,pr_full,degree_in_full,degree_out_full,origin_count,transit_count,destination_count,seizure_count,incident_counts,binary_incident_observed,binary_origin_observed,binary_destination_observed,binary_transit_observed
AER,2965,Sochi International Airport,Sochi,russia,URSS,43.449902,39.9566,89,3,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,343334,1,0,0,0,0,0,0.007763975,3.982881977039932e-06,0.086598895,0.001129169,0.000250921,0.000517598,0.007246377,0,0,0,0,0,0,0,0,0
KZN,2990,Kazan International Airport,Kazan,russia,UWKD,55.60620117,49.27870178,411,3,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,1143535,1,0,0,0,0,0,0.010351966873706004,3.415212267510454e-06,0.086628644,0.001185728,0.000266165,0.001035197,0.00931677,0,0,0,0,0,0,0,0,0
ASF,2966,Astrakhan Airport,Astrakhan,russia,URWA,46.28329849,48.00630188,-65,4,N,Europe/Samara,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,520339,1,0,0,0,0,0,0.004140787,1.0990346614735702e-06,0.086628644,0.001188561,0.000263498,0.001035197,0.00310559,0,0,0,0,0,0,0,0,0
MRV,2962,Mineralnyye Vody Airport,Mineralnye Vody,russia,URMM,44.22510147094727,43.08190155029297,1054,3,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,74141,1,0,0,0,0,0,0.007246377,1.6118592259690334e-05,0.086628644,0.001188703,0.000288273,0.001035197,0.00621118,0,0,0,0,0,0,0,0,0
CEK,2968,Chelyabinsk Balandino Airport,Chelyabinsk,russia,USCC,55.305801,61.5033,769,5,N,Asia/Yekaterinburg,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,1202371,1,0,0,0,0,0,0.00621118,8.967667140970011e-07,0.086628644,0.001188561,0.000263498,0.001035197,0.005175983,0,0,0,0,0,0,0,0,0
OVB,4078,Tolmachevo Airport,Novosibirsk,russia,UNNT,55.01259995,82.65070343,365,7,N,Asia/Krasnoyarsk,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,1473754,1,0,0,0,0,0,0.024327122,0.00058445,0.086987231,0.001297851,0.000377487,0.002070393,0.022256729,0,0,1,1,1,1,0,1,0
DME,4029,Domodedovo International Airport,Moscow,russia,UUDD,55.40879821777344,37.90629959106445,588,3,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,11979529,1,0,0,0,0,0,0.096273292,0.024114382510443837,0.11384920245456118,0.022543220661378156,0.000822959,0.007763975,0.088509317,5,2,9,8,18,1,1,1,1
NBC,6969,Begishevo Airport,Nizhnekamsk,russia,UWKE,55.564701080322266,52.09249877929688,643,3,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,234044,1,0,0,0,0,0,0.002587992,1.780373879369719e-07,0.086658414,0.001129169,0.000250921,0.000517598,0.002070393,0,0,0,0,0,0,0,0,0
UUA,6160,Bugulma Airport,Bugulma,russia,UWKB,54.63999938964844,52.801700592041016,991,3,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,84522,1,0,0,0,0,0,0.001035197,0,0.086688203,0.001129169,0.000250921,0.000517598,0.000517598,0,0,0,0,0,0,0,0,0
EGO,6156,Belgorod International Airport,Belgorod,russia,UUOB,50.64379883,36.59009933,735,3,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,356402,1,0,0,0,0,0,0.002070393,0,0.086658414,0.001129169,0.000250921,0.000517598,0.001552795,0,0,0,0,0,0,0,0,0
KGD,2952,Khrabrovo Airport,Kaliningrad,russia,UMKK,54.88999938964844,20.59259986877441,42,2,N,Europe/Kaliningrad,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,431402,1,0,0,0,0,0,0.004140787,3.6722471639337122e-06,0.086747844,0.001185728,0.00032206,0.001035197,0.00310559,0,0,0,0,0,0,0,0,0
GYD,2922,Heydar Aliyev International Airport,Baku,azerbaijan,UBBB,40.46749877929688,50.04669952392578,10,4,E,Asia/Baku,airport,OurAirports,6,5.5,5.5,7.5,5.5,4.15,4.5,3,3,3.5,3.5,6,6,3,5,4,4.08,3.5,3.5,5.5,4,2.5,4,5,4.5,4,4,5,3.5,2293100,1,0,1,1,0,0,0.015527950310559008,1.4131150267598302e-05,0.086718014,0.001253718,0.000278818,0.001552795,0.013975155279503106,0,0,0,0,0,0,0,0,0
LED,2948,Pulkovo Airport,St. Petersburg,russia,ULLI,59.80030059814453,30.262500762939453,78,3,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,4879566,1,0,0,0,0,0,0.052277433,0.002899639,0.08716764,0.001724043,0.000545327,0.005693582,0.046583851,0,0,0,0,0,0,0,0,0
SVX,2975,Koltsovo Airport,Yekaterinburg,russia,USSS,56.74309921,60.80270004,764,5,N,Asia/Yekaterinburg,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,1350136,1,0,0,0,0,0,0.026397515527950312,0.000785421,0.087227943,0.001585716,0.00036802,0.004140787,0.022256729,0,0,0,0,0,0,0,0,0
NJC,2972,Nizhnevartovsk Airport,Nizhnevartovsk,russia,USNN,60.94929885864258,76.48359680175781,177,5,N,Asia/Yekaterinburg,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,251694,1,0,0,0,0,0,0.004140787,0.000503117,0.087047285,0.001330163,0.000479082,0.002070393,0.002070393,0,0,0,0,0,0,0,0,0
NUX,4364,Novy Urengoy Airport,Novy Urengoy,russia,USMU,66.06939697265625,76.52030181884766,210,5,N,Asia/Yekaterinburg,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,114837,1,0,0,0,0,0,0.005693582,1.075939065827556e-05,0.087017248,0.001340498,0.000313112,0.002070393,0.003623188,0,0,0,0,0,0,0,0,0
BTK,2936,Bratsk Airport,Bratsk,russia,UIBB,56.370601654052734,101.697998,1610,8,N,Asia/Irkutsk,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,246319,1,0,0,0,0,0,0.002070393,3.8048445891029592e-06,0.086718014,0.001194177,0.000258387,0.001035197,0.001035197,0,0,0,0,0,0,0,0,0
IKT,2937,Irkutsk Airport,Irkutsk,russia,UIII,52.26800156,104.3889999,1675,8,N,Asia/Irkutsk,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,587225,1,0,0,0,0,0,0.010869565217391306,0.000371472,0.086777696,0.001253992,0.000368268,0.001552795,0.00931677,0,0,0,0,0,0,0,0,0
HTA,2935,Chita-Kadala Airport,Chita,russia,UIAA,52.026299,113.306,2272,9,N,Asia/Yakutsk,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,324444,1,0,0,0,0,0,0.00310559,3.14479560752181e-07,0.08683746,0.001256988,0.000275786,0.001552795,0.001552795,1,0,0,0,1,1,1,0,0
KCK,6922,Kirensk Airport,Kirensk,russia,UIKK,57.773,108.064,840,8,N,Asia/Irkutsk,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,11139,1,0,0,0,0,0,0.000517598,0,0.070152307,6.281107144305454e-05,0.000264225,0.000517598,0,0,0,0,0,0,0,0,0,0
ULK,9026,Lensk Airport,Lensk,russia,UERL,60.72060013,114.8259964,801,9,N,Asia/Yakutsk,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,23479,1,0,0,0,0,0,0.000517598,0,0,8.998795916126649e-33,0.000246827,0,0.000517598,0,0,0,0,0,0,0,0,0
YKS,2923,Yakutsk Airport,Yakutsk,russia,UEEE,62.093299865722656,129.7709961,325,9,N,Asia/Yakutsk,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,269601,1,0,0,0,0,0,0.007246377,0.000510494,0.08716764,0.001343344,0.000490868,0.002587992,0.004658385,0,0,0,0,0,0,0,0,0
MJZ,2925,Mirny Airport,Mirnyj,russia,UERR,62.534698486328125,114.03900146484376,1156,9,N,Asia/Yakutsk,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,40000,1,0,0,0,0,0,0.002070393,0,0.087206575,0.001324275,0.000322162,0.002070393,0,0,0,0,0,0,0,0,0,0
AYP,2786,Coronel FAP Alfredo Mendivil Duarte Airport,Ayacucho,peru,SPHO,-13.15480042,-74.20439911,8917,-5,U,America/Lima,airport,OurAirports,6.5,6,8,7,5,6.2,7,6,5.5,7,5.5,9,3.5,9,5.5,4,4.58,3,5.5,5,6,6,5,5,4.5,4,3.5,3,4.5,180766,1,1,1,1,1,0,0.001035197,0,0.000517598,7.548737141238734e-26,0.000254116,0.000517598,0.000517598,0,0,0,0,0,0,0,0,0
LIM,2789,Jorge Chávez International Airport,Lima,peru,SPIM,-12.0219,-77.114305,113,-5,U,America/Lima,airport,OurAirports,6.5,6,8,7,5,6.2,7,6,5.5,7,5.5,9,3.5,9,5.5,4,4.58,3,5.5,5,6,6,5,5,4.5,4,3.5,3,4.5,7605742,1,1,1,1,1,0,0.028467908902691512,0.000507413,0.000517598,7.548737141238734e-26,0.000462951,0.000517598,0.027950310559006212,4,0,0,4,4,1,1,0,0
CUZ,2812,Alejandro Velasco Astete International Airport,Cuzco,peru,SPZO,-13.53569984,-71.938797,10860,-5,U,America/Lima,airport,OurAirports,6.5,6,8,7,5,6.2,7,6,5.5,7,5.5,9,3.5,9,5.5,4,4.58,3,5.5,5,6,6,5,5,4.5,4,3.5,3,4.5,428450,1,1,1,1,1,0,0.002587992,0,0.000690131,7.548737141238734e-26,0.000254116,0.000517598,0.002070393,0,0,0,0,0,0,0,0,0
PEM,2808,Padre Aldamiz International Airport,Puerto Maldonado,peru,SPTU,-12.61359978,-69.22859955,659,-5,U,America/Lima,airport,OurAirports,6.5,6,8,7,5,6.2,7,6,5.5,7,5.5,9,3.5,9,5.5,4,4.58,3,5.5,5,6,6,5,5,4.5,4,3.5,3,4.5,85024,1,1,1,1,1,0,0.001035197,0,0.001164596,1.5097473382597877e-25,0.000308147,0.001035197,0,0,0,0,0,0,0,0,0,0
HUU,6067,Alferez Fap David Figueroa Fernandini Airport,Huánuco,peru,SPNC,-9.878809929,-76.20480347,6070,-5,U,America/Lima,airport,OurAirports,6.5,6,8,7,5,6.2,7,6,5.5,7,5.5,9,3.5,9,5.5,4,4.58,3,5.5,5,6,6,5,5,4.5,4,3.5,3,4.5,196627,1,1,1,1,1,0,0.000517598,0,0.000690131,7.548737141238734e-26,0.000254116,0.000517598,0,0,0,0,0,0,0,0,0,0
IQT,2801,Coronel FAP Francisco Secada Vignetta International Airport,Iquitos,peru,SPQT,-3.784739971,-73.30879974,306,-5,U,America/Lima,airport,OurAirports,6.5,6,8,7,5,6.2,7,6,5.5,7,5.5,9,3.5,9,5.5,4,4.58,3,5.5,5,6,6,5,5,4.5,4,3.5,3,4.5,370962,1,1,1,1,1,0,0.001552795,2.680467859582083e-07,0.053179245769053765,3.7364618075919756e-07,0.000570284,0.001035197,0.000517598,0,1,0,0,1,1,0,0,1
PCL,2781,Cap FAP David Abenzur Rengifo International Airport,Pucallpa,peru,SPCL,-8.377940178,-74.57430267,513,-5,U,America/Lima,airport,OurAirports,6.5,6,8,7,5,6.2,7,6,5.5,7,5.5,9,3.5,9,5.5,4,4.58,3,5.5,5,6,6,5,5,4.5,4,3.5,3,4.5,326040,1,1,1,1,1,0,0.001035197,0,0.000690131,7.548737141238734e-26,0.000254116,0.000517598,0.000517598,0,0,0,0,0,0,0,0,0
TPP,2806,Cadete FAP Guillermo Del Castillo Paredes Airport,Tarapoto,peru,SPST,-6.508739948,-76.37319946,869,-5,U,America/Lima,airport,OurAirports,6.5,6,8,7,5,6.2,7,6,5.5,7,5.5,9,3.5,9,5.5,4,4.58,3,5.5,5,6,6,5,5,4.5,4,3.5,3,4.5,240453,1,1,1,1,1,0,0.001035197,0,0.001164596,1.5097473382597877e-25,0.000470241,0.001035197,0,0,0,0,0,0,0,0,0,0
ABJ,253,Port Bouet Airport,Abidjan,cote d'ivoire,DIAP,5.261390209197998,-3.926290035,21,0,N,Africa/Abidjan,airport,OurAirports,6.25,3,7,7,8,6.05,6.5,6.5,7,6,6.5,7.5,3.5,5,6,6,4.42,4.5,4,6,4.5,5.5,5,4,5,3.5,3.5,3,4.5,3677115,1,1,1,1,1,0,0.00931677,0,0,8.998795916126649e-33,0.000246827,0,0.00931677,1,0,0,0,1,1,1,0,0
OUA,246,Ouagadougou Airport,Ouagadougou,burkina faso,DFFD,12.3532,-1.51242,1037,0,N,Africa/Ouagadougou,airport,OurAirports,5.63,3.5,6.5,6.5,6,5.35,6,4,8,4,6,8.5,4,4,3,6,3.63,3.5,4,5.5,5,4,3,3,3,3,2.5,2,5,2453496,1,0,0,0,0,0,0.003623188,6.226016115025569e-07,0.000517598,2.159711019870396e-31,0.000258489,0.000517598,0.00310559,0,0,0,0,0,0,0,0,0
ACC,248,Kotoka International Airport,Accra,ghana,DGAA,5.605189800262451,-0.166786,205,0,N,Africa/Accra,airport,OurAirports,5.88,3,6.5,7.5,6.5,6.15,6.5,5,5,6.5,6,7.5,6,6.5,5.5,7,5.38,5.5,5.5,6.5,5,5,4.5,6,6,6,3.5,4,7,5055900,1,0,0,0,0,0,0.012422360248447206,2.4758864847443317e-05,0.000517598,2.159711019870396e-31,0.000258489,0.000517598,0.011904761904761906,5,0,0,0,5,1,1,0,0
BKO,1044,Modibo Keita International Airport,Bamako,mali,GABS,12.5335,-7.94994,1247,0,N,Africa/Bamako,airport,OurAirports,5.63,3,7,8.5,4,6.15,7,6,8,5,5.5,7.5,3,6,7,6.5,6,5,5,7,6.5,5.5,6,6,5.5,6,5.5,5.5,6,2713000,1,0,0,0,0,0,0.006728778,0.000515892,0.093260349,0.002925541,0.000378777,0.001552795,0.005175983,0,0,1,0,1,1,0,1,0
COO,245,Cadjehoun Airport,Cotonou,benin,DBBB,6.357230186462402,2.384350061416626,19,1,N,Africa/Porto-Novo,airport,OurAirports,5.25,1,6,6,8,5.25,6,4,5.5,6,5.5,5,4.5,6,4,6,3.54,4,4.5,4,3,3,4,3.5,3,4,3,2,4.5,2401067,1,0,0,0,0,0,0.004658385,1.627777058845838e-06,0.000517598,2.159711019870396e-31,0.000258489,0.000517598,0.004140787,1,0,0,1,1,1,1,0,0
LFW,298,Lomé-Tokoin Airport,Lome,togo,DXXX,6.165609836578369,1.2545100450515747,72,0,N,Africa/Lome,airport,OurAirports,5.75,1,7,7.5,7.5,4.9,6,3.5,4,5,6,6,3,5,6.5,4,4,3,3,5.5,4.5,3.5,4,4,3,4.5,4.5,4,4.5,837437,1,0,0,0,0,0,0.004658385,0.000110795,0.002070393,7.666974120539912e-30,0.000332169,0.002070393,0.002587992,1,0,0,0,1,1,1,0,0
NIM,280,Diori Hamani International Airport,Niamey,niger,DRRN,13.4815,2.18361,732,1,N,Africa/Niamey,airport,OurAirports,6.13,4,7,8.5,5,5.9,7,7,8,2,4.5,7.5,3,6,7,7,3.21,3.5,2.5,5.5,4,2.5,4,4,3,3,2,2,2.5,1026848,1,0,0,0,0,0,0.001552795,1.646841463237846e-06,0.000690131,2.4926664687670828e-30,0.000274307,0.000517598,0.001035197,0,0,0,0,0,0,0,0,0
BOG,2709,El Dorado International Airport,Bogota,colombia,SKBO,4.70159,-74.1469,8361,-5,U,America/Bogota,airport,OurAirports,8.13,9.5,9,7,7,7.2,7.5,7,8,6,7,9,5,9.5,8,5,5.83,7,5.5,9,7,5.5,6,4.5,6,5,3.5,4.5,6.5,7412566,1,0,0,0,0,0,0.037267080745341616,0.008978447,0.075186638,0.000148494,0.000994136,0.001552795,0.035714286,2,2,0,5,6,1,1,0,1
GYE,2673,José Joaquín de Olmedo International Airport,Guayaquil,ecuador,SEGU,-2.15741992,-79.88359833,19,-5,U,America/Guayaquil,airport,OurAirports,6.5,6.5,5.5,6.5,7.5,6,6,5.5,7.5,6,6,6.5,6,7,4,5.5,5.71,5,5.5,6,6.5,5.5,6,4.5,7,5.5,5,5,7,2698077,1,0,0,0,0,0,0.00931677,0.000576692,0.062358057229686695,7.831594432277855e-06,0.000281346,0.001552795,0.007763975,0,0,0,0,0,0,0,0,0
UIO,2688,Mariscal Sucre International Airport,Quito,ecuador,SEQM,-0.129166667,-78.3575,7841,-5,U,America/Guayaquil,airport,OurAirports,6.5,6.5,5.5,6.5,7.5,6,6,5.5,7.5,6,6,6.5,6,7,4,5.5,5.71,5,5.5,6,6.5,5.5,6,4.5,7,5.5,5,5,7,2011388,1,0,0,0,0,0,0.009834369,0.000576717,0.062358057229686695,7.831594432277855e-06,0.000282293,0.001552795,0.008281573,0,0,0,0,0,0,0,0,0
CLO,2715,Alfonso Bonilla Aragon International Airport,Cali,colombia,SKCL,3.54322,-76.3816,3162,-5,U,America/Bogota,airport,OurAirports,8.13,9.5,9,7,7,7.2,7.5,7,8,6,7,9,5,9.5,8,5,5.83,7,5.5,9,7,5.5,6,4.5,6,5,3.5,4.5,6.5,2227642,1,0,0,0,0,0,0.007246377,0.000194511,0.062388912,8.223961626157595e-06,0.0002973,0.002070393,0.005175983,0,0,0,0,0,0,0,0,0
SCY,6045,San Cristóbal Airport,San Cristóbal,ecuador,SEST,-0.910206,-89.617401,62,-6,U,Pacific/Galapagos,airport,OurAirports,6.5,6.5,5.5,6.5,7.5,6,6,5.5,7.5,6,6,6.5,6,7,4,5.5,5.71,5,5.5,6,6.5,5.5,6,4.5,7,5.5,5,5,7,6000,1,0,0,0,0,0,0.000517598,0,0.053320487,3.9236719387973974e-07,0.00026278,0.000517598,0,0,0,0,0,0,0,0,0,0
OCC,2670,Francisco De Orellana Airport,Coca,ecuador,SECO,-0.462886006,-76.98680115,834,-5,U,America/Guayaquil,airport,OurAirports,6.5,6.5,5.5,6.5,7.5,6,6,5.5,7.5,6,6,6.5,6,7,4,5.5,5.71,5,5.5,6,6.5,5.5,6,4.5,7,5.5,5,5,7,45163,1,0,0,0,0,0,0.000517598,0,0.053320487,3.9236719387973974e-07,0.000261834,0.000517598,0,0,0,0,0,0,0,0,0,0
BDS,1506,Brindisi – Salento Airport,Brindisi,italy,LIBR,40.6576,17.947001,47,1,E,Europe/Rome,airport,OurAirports,6.38,9,3,6.5,7,5.25,7,6.5,5.5,2.5,3.5,5.5,4.5,7.5,5,5,6.29,6.5,5,8.5,8,5,7.5,6.5,5.5,5,5.5,5.5,7,87141,1,1,1,1,1,0,0.009834369,0.000169753,0.095993903,0.003018189,0.00025651,0.000517598,0.00931677,0,0,0,0,0,0,0,0,0
ZRH,1678,Zürich Airport,Zurich,switzerland,LSZH,47.464699,8.54917,1416,1,E,Europe/Zurich,airport,OurAirports,4.38,4.5,4,1.5,7.5,4.3,5,3,6.5,1.5,3,7,2.5,5.5,5.5,3.5,7.13,9,6.5,7.5,6.5,7,7.5,8.5,5,6,8,6,8,379915,1,1,1,1,1,0,0.06884058,0.001487926,0.088513859,0.00150945,0.000270797,0.002070393,0.066770186,0,0,1,3,3,1,0,1,0
BOD,1264,Bordeaux-Mérignac Airport,Bordeaux,france,LFBD,44.82830048,-0.715556026,162,1,E,Europe/Paris,airport,OurAirports,5.63,6,6.5,3,7,5.7,6,6.5,6,4,5.5,4.5,6,6.5,6.5,5.5,6.83,6,7,8.5,7.5,6.5,7,5,8,8,5,6.5,7,235891,1,1,1,1,1,0,0.025879917184265012,0.004181234,0.097028081,0.006388059,0.000363048,0.001552795,0.024327122,0,0,0,0,0,0,0,0,0
BRS,490,Bristol Airport,Bristol,united kingdom,EGGD,51.382702,-2.71909,622,0,E,Europe/London,airport,OurAirports,5.38,4,6.5,3,8,4.4,6,5,3.5,2.5,4,2,4.5,6.5,4.5,5.5,7.88,8,7.5,8,8.5,8.5,7.5,8.5,6.5,7.5,7.5,7.5,9,463400,1,1,1,1,1,0,0.039337474120082816,0.000944016,0.097365245,0.021716659638847103,0.000390657,0.005693582,0.033643892,0,0,1,1,1,1,0,1,0
GVA,1665,Geneva Cointrin International Airport,Geneva,switzerland,LSGG,46.23809814453125,6.108950138092041,1411,1,E,Europe/Paris,airport,OurAirports,4.38,4.5,4,1.5,7.5,4.3,5,3,6.5,1.5,3,7,2.5,5.5,5.5,3.5,7.13,9,6.5,7.5,6.5,7,7.5,8.5,5,6,8,6,8,201741,1,1,1,1,1,0,0.050724637681159424,0.000592467,0.092473775,0.002849966,0.000281656,0.00310559,0.047619048,0,0,0,1,1,1,0,0,0
LPA,1054,Gran Canaria Airport,Gran Canaria,spain,GCLP,27.931900024414062,-15.38659954,78,0,E,Atlantic/Canary,airport,OurAirports,6.25,6,6.5,5,7.5,5.3,7,7,4,3.5,5,2,6.5,7,7,4,6.63,6,6,8,8,7,8,5.5,6.5,6,6.5,5,7,870595,1,1,1,1,1,0,0.045031056,0.004135445,0.10635849153810753,0.0330484,0.00051226,0.007246377,0.037784679,0,0,0,0,0,0,0,0,0
LCA,1197,Larnaca International Airport,Larnaca,cyprus,LCLK,34.875099182128906,33.624900817871094,8,2,E,Asia/Nicosia,airport,OurAirports,4.88,3.5,5,4,7,3.5,5.5,6,2.5,2.5,3,2,2,4.5,4,3,4.42,5,5,6.5,6,4,5.5,3,3,3.5,4,3.5,4,51468,1,1,1,1,1,0,0.025879917184265012,0.000154654,0.087107421,0.001370557,0.000265137,0.002070393,0.023809524,0,0,0,0,0,0,0,0,0
RMF,4197,Marsa Alam International Airport,Marsa Alam,egypt,HEMA,25.5571003,34.58369827,251,2,U,Africa/Cairo,airport,OurAirports,5.38,3,5.5,8,5,4.95,5.5,5.5,7,1,5,4,5.5,2,7,7,4.04,3.5,3,4.5,4.5,3.5,5,6,6,4.5,3,2.5,2.5,1918,1,0,0,0,0,0,0.001552795,0,0.071155752,7.560638797426355e-05,0.000248612,0.000517598,0.001035197,0,0,0,0,0,0,0,0,0
TFS,1056,Tenerife South Airport,Tenerife,spain,GCTS,28.04450035,-16.57250023,209,0,E,Atlantic/Canary,airport,OurAirports,6.25,6,6.5,5,7.5,5.3,7,7,4,3.5,5,2,6.5,7,7,4,6.63,6,6,8,8,7,8,5.5,6.5,6,6.5,5,7,966354,1,1,1,1,1,0,0.046066253,0.002066691,0.10935645422239938,0.036239155,0.000534042,0.00931677,0.036749482,0,0,0,0,0,0,0,0,0
ARN,737,Stockholm-Arlanda Airport,Stockholm,sweden,ESSA,59.65190125,17.91860008,137,1,E,Europe/Stockholm,airport,OurAirports,4.88,5.5,5.5,2.5,6,4.25,4.5,5.5,6,2,3.5,2,4,4.5,5,5.5,7.46,7,9,8.5,7,7,6.5,8,7.5,7.5,6,7,8.5,975551,1,1,1,1,1,0,0.054347826,0.002396977,0.084509378,0.002028629,0.000267241,0.002587992,0.051759834368530024,0,0,0,0,0,0,0,0,0
HAD,709,Halmstad Airport,Halmstad,sweden,ESMT,56.69110107421875,12.820199966430664,101,1,E,Europe/Stockholm,airport,OurAirports,4.88,5.5,5.5,2.5,6,4.25,4.5,5.5,6,2,3.5,2,4,4.5,5,5.5,7.46,7,9,8.5,7,7,6.5,8,7.5,7.5,6,7,8.5,70480,1,1,1,1,1,0,0.001035197,0,0.076719192,0.000396819,0.000390843,0.000517598,0.000517598,0,0,0,0,0,0,0,0,0
